x_value,total_1,total_2
0,1000,1000
1,998,1003
2,1004,1006
3,1002,1008
4,1007,1007
5,1002,1004
6,996,1009
7,990,1006
8,993,1005
9,993,1004
10,994,1003
11,1000,1007
12,995,1011
13,999,1016
14,998,1016
15,997,1017
16,1005,1015
17,1010,1013
18,1007,1009
19,1004,1011
20,1003,1006
21,997,1003
22,1005,1003
23,1004,1005
24,1004,1002
25,1005,999
26,1006,996
27,1009,999
28,1016,1005
29,1018,1001
30,1015,998
31,1021,1000
32,1017,1001
33,1017,1000
34,1025,996
35,1020,999
36,1020,1001
37,1025,1000
38,1027,1006
39,1032,1003
40,1029,1004
41,1030,1001
42,1028,1002
43,1025,997
44,1030,999
45,1037,1005
46,1040,1005
47,1036,1007
48,1036,1002
49,1043,997
50,1040,997
51,1043,999
52,1049,1005
53,1046,1007
54,1046,1005
55,1044,1005
56,1047,1005
57,1050,1007
58,1057,1010
59,1065,1012
60,1064,1016
61,1070,1016
62,1066,1013
63,1065,1015
64,1064,1014
65,1069,1018
66,1064,1019
67,1067,1020
68,1072,1023
69,1071,1025
70,1070,1031
71,1069,1026
72,1063,1024
73,1057,1019
74,1058,1023
75,1066,1018
76,1069,1013
77,1067,1014
78,1075,1013
79,1075,1012
80,1075,1008
81,1083,1010
82,1085,1012
83,1090,1012
84,1088,1012
85,1083,1008
86,1088,1010
87,1094,1005
88,1093,1008
89,1100,1009
90,1094,1012
91,1095,1014
92,1092,1017
93,1100,1013
94,1108,1013
95,1115,1019
96,1121,1018
97,1129,1019
98,1135,1017
99,1129,1021
100,1129,1020
101,1126,1016
102,1133,1015
103,1137,1012
104,1137,1018
105,1135,1017
106,1136,1017
107,1141,1018
108,1143,1018
109,1141,1013
110,1147,1011
111,1155,1012
112,1149,1018
113,1151,1019
114,1146,1019
115,1153,1014
116,1156,1019
117,1164,1020
118,1167,1018
119,1163,1020
120,1167,1020
121,1171,1024
122,1172,1028
123,1168,1029
124,1167,1024
125,1161,1022
126,1159,1024
127,1165,1026
128,1159,1027
129,1161,1028
130,1161,1027
131,1166,1023
132,1167,1018
133,1163,1015
134,1162,1018
135,1170,1022
136,1164,1018
137,1170,1021
138,1169,1016
139,1167,1015
140,1173,1018
141,1168,1021
142,1173,1025
143,1170,1027
144,1170,1031
145,1165,1032
146,1167,1031
147,1162,1037
148,1157,1042
149,1152,1048
150,1146,1045
151,1148,1044
152,1149,1046
153,1144,1043
154,1141,1039
155,1145,1034
156,1149,1040
157,1143,1044
158,1140,1041
159,1142,1044
160,1137,1050
161,1135,1047
162,1131,1051
163,1134,1051
164,1135,1052
165,1142,1052
166,1138,1056
167,1134,1056
168,1134,1059
169,1130,1059
170,1135,1059
171,1135,1061
172,1135,1058
173,1137,1061
174,1135,1067
175,1130,1063
176,1136,1060
177,1142,1063
178,1141,1069
179,1136,1069
180,1130,1065
181,1126,1070
182,1134,1076
183,1130,1073
184,1136,1073
185,1144,1068
186,1144,1069
187,1152,1071
188,1150,1074
189,1158,1070
190,1156,1069
191,1156,1064
192,1154,1067
193,1162,1069
194,1169,1072
195,1172,1078
196,1177,1080
197,1185,1080
198,1189,1079
199,1191,1080
200,1190,1085
201,1187,1087
202,1195,1085
203,1196,1080
204,1194,1076
205,1189,1073
206,1192,1071
207,1187,1074
208,1185,1075
209,1182,1077
210,1189,1080
211,1184,1086
212,1183,1092
213,1188,1091
214,1190,1096
215,1198,1095
216,1205,1099
217,1213,1097
218,1211,1097
219,1209,1095
220,1215,1096
221,1222,1102
222,1224,1105
223,1223,1108
224,1218,1109
225,1223,1113
226,1227,1110
227,1231,1105
228,1231,1110
229,1230,1110
230,1238,1115
231,1237,1120
232,1231,1123
233,1237,1121
234,1236,1118
235,1244,1122
236,1246,1118
237,1248,1123
238,1251,1127
239,1256,1130
240,1251,1130
241,1259,1130
242,1265,1130
243,1261,1127
244,1267,1122
245,1272,1122
246,1267,1121
247,1271,1121
248,1269,1124
249,1266,1119
250,1264,1122
251,1267,1127
252,1263,1123
253,1264,1122
254,1267,1128
255,1275,1124
256,1275,1124
257,1272,1128
258,1277,1125
259,1272,1130
260,1266,1131
261,1264,1127
262,1260,1123
263,1265,1128
264,1267,1127
265,1264,1130
266,1269,1127
267,1266,1124
268,1268,1129
269,1273,1128
270,1272,1126
271,1280,1122
272,1274,1117
273,1274,1117
274,1275,1112
275,1276,1118
276,1271,1115
277,1273,1116
278,1276,1118
279,1281,1122
280,1287,1121
281,1281,1116
282,1286,1120
283,1287,1116
284,1290,1111
285,1290,1111
286,1293,1110
287,1290,1108
288,1290,1108
289,1298,1110
290,1292,1111
291,1291,1109
292,1299,1113
293,1304,1113
294,1301,1109
295,1300,1105
296,1301,1102
297,1300,1099
298,1298,1095
299,1306,1090
300,1302,1091
301,1308,1092
302,1311,1090
303,1311,1094
304,1318,1095
305,1317,1098
306,1318,1102
307,1324,1107
308,1322,1110
309,1325,1105
310,1332,1108
311,1329,1108
312,1330,1114
313,1328,1119
314,1323,1123
315,1317,1124
316,1320,1128
317,1318,1129
318,1319,1133
319,1314,1132
320,1308,1135
321,1302,1133
322,1303,1138
323,1310,1144
324,1309,1144
325,1305,1142
326,1313,1142
327,1317,1142
328,1314,1143
329,1321,1141
330,1319,1144
331,1319,1143
332,1321,1143
333,1322,1141
334,1317,1144
335,1311,1150
336,1305,1156
337,1299,1159
338,1301,1157
339,1303,1162
340,1299,1161
341,1297,1163
342,1301,1158
343,1295,1159
344,1294,1156
345,1288,1152
346,1284,1152
347,1287,1152
348,1290,1152
349,1292,1154
350,1296,1153
351,1296,1157
352,1290,1160
353,1287,1163
354,1286,1161
355,1293,1167
356,1288,1173
357,1294,1176
358,1302,1181
359,1305,1187
360,1309,1183
361,1308,1181
362,1303,1177
363,1301,1178
364,1299,1182
365,1296,1180
366,1291,1184
367,1297,1179
368,1305,1185
369,1299,1189
370,1301,1188
371,1300,1186
372,1295,1181
373,1302,1183
374,1302,1183
375,1302,1185
376,1301,1180
377,1309,1179
378,1316,1174
379,1314,1172
380,1321,1167
381,1316,1173
382,1312,1176
383,1314,1172
384,1314,1168
385,1318,1167
386,1326,1171
387,1332,1166
388,1336,1165
389,1333,1168
390,1328,1166
391,1323,1166
392,1318,1167
393,1320,1167
394,1314,1173
395,1320,1172
396,1322,1172
397,1320,1172
398,1325,1172
399,1320,1172
400,1321,1177
401,1322,1183
402,1324,1182
403,1331,1182
404,1331,1177
405,1326,1173
406,1328,1174
407,1324,1169
408,1329,1175
409,1328,1174
410,1325,1172
411,1323,1168
412,1318,1169
413,1315,1171
414,1318,1177
415,1326,1180
416,1328,1183
417,1333,1178
418,1336,1174
419,1342,1179
420,1336,1181
421,1332,1176
422,1337,1180
423,1345,1179
424,1343,1179
425,1347,1178
426,1352,1178
427,1346,1179
428,1350,1176
429,1349,1174
430,1352,1170
431,1359,1175
432,1364,1173
433,1366,1178
434,1369,1183
435,1376,1181
436,1375,1178
437,1369,1177
438,1376,1175
439,1384,1171
440,1392,1166
441,1392,1169
442,1399,1166
443,1397,1163
444,1392,1162
445,1397,1165
446,1392,1167
447,1389,1163
448,1390,1167
449,1394,1164
450,1391,1161
451,1396,1157
452,1396,1152
453,1398,1149
454,1396,1153
455,1393,1159
456,1399,1160
457,1406,1163
458,1402,1166
459,1410,1166
460,1417,1164
461,1416,1165
462,1411,1162
463,1410,1168
464,1412,1167
465,1416,1167
466,1420,1171
467,1419,1177
468,1419,1174
469,1416,1172
470,1413,1177
471,1418,1179
472,1415,1181
473,1412,1183
474,1415,1179
475,1420,1179
476,1427,1174
477,1428,1175
478,1425,1177
479,1433,1180
480,1429,1177
481,1426,1174
482,1432,1172
483,1440,1172
484,1438,1174
485,1440,1173
486,1448,1173
487,1446,1177
488,1447,1180
489,1447,1186
490,1447,1192
491,1451,1197
492,1454,1193
493,1452,1192
494,1454,1197
495,1460,1194
496,1463,1196
497,1461,1198
498,1459,1200
499,1461,1197
500,1462,1195
501,1469,1190
502,1472,1188
503,1478,1183
504,1481,1180
505,1478,1181
506,1475,1184
507,1483,1182
508,1485,1184
509,1492,1188
510,1489,1183
511,1495,1188
512,1502,1188
513,1505,1192
514,1506,1198
515,1500,1201
516,1501,1199
517,1501,1203
518,1498,1204
519,1493,1203
520,1493,1209
521,1497,1215
522,1504,1217
523,1498,1214
524,1497,1217
525,1494,1216
526,1495,1214
527,1501,1211
528,1509,1213
529,1511,1216
530,1505,1212
531,1510,1213
532,1506,1213
533,1512,1219
534,1514,1214
535,1517,1215
536,1511,1211
537,1509,1212
538,1513,1217
539,1512,1221
540,1520,1218
541,1515,1215
542,1514,1217
543,1519,1221
544,1524,1221
545,1518,1224
546,1524,1225
547,1525,1220
548,1521,1223
549,1528,1226
550,1524,1232
551,1528,1234
552,1528,1237
553,1528,1237
554,1534,1238
555,1538,1236
556,1544,1235
557,1542,1237
558,1544,1241
559,1548,1247
560,1556,1243
561,1559,1240
562,1560,1244
563,1568,1245
564,1572,1244
565,1572,1245
566,1578,1241
567,1578,1238
568,1572,1238
569,1577,1235
570,1575,1234
571,1575,1240
572,1577,1242
573,1580,1248
574,1576,1254
575,1583,1260
576,1581,1262
577,1575,1266
578,1575,1263
579,1575,1266
580,1579,1264
581,1581,1268
582,1588,1269
583,1586,1268
584,1594,1272
585,1589,1269
586,1589,1267
587,1587,1262
588,1589,1259
589,1587,1261
590,1592,1266
591,1588,1266
592,1596,1267
593,1602,1268
594,1598,1266
595,1598,1264
596,1605,1259
597,1611,1259
598,1607,1261
599,1605,1256
600,1613,1251
601,1610,1255
602,1606,1250
603,1614,1253
604,1611,1249
605,1614,1251
606,1608,1251
607,1614,1251
608,1621,1251
609,1616,1252
610,1615,1252
611,1611,1252
612,1605,1256
613,1601,1262
614,1596,1263
615,1597,1258
616,1591,1264
617,1595,1265
618,1601,1263
619,1605,1269
620,1603,1265
621,1610,1260
622,1604,1260
623,1604,1260
624,1607,1266
625,1605,1272
626,1610,1270
627,1610,1272
628,1617,1277
629,1621,1273
630,1627,1279
631,1628,1275
632,1626,1280
633,1633,1284
634,1633,1288
635,1636,1291
636,1639,1293
637,1639,1291
638,1636,1291
639,1638,1294
640,1637,1296
641,1642,1302
642,1648,1300
643,1653,1299
644,1651,1297
645,1657,1302
646,1663,1301
647,1657,1299
648,1659,1303
649,1653,1309
650,1652,1315
651,1646,1312
652,1643,1318
653,1647,1317
654,1648,1322
655,1653,1325
656,1652,1322
657,1646,1324
658,1650,1324
659,1644,1323
660,1640,1324
661,1643,1326
662,1638,1327
663,1643,1333
664,1637,1335
665,1637,1336
666,1634,1335
667,1629,1338
668,1632,1344
669,1636,1347
670,1640,1350
671,1639,1345
672,1647,1349
673,1643,1346
674,1650,1350
675,1646,1356
676,1645,1360
677,1642,1363
678,1648,1367
679,1644,1368
680,1651,1370
681,1651,1369
682,1653,1374
683,1657,1372
684,1652,1370
685,1657,1365
